cutoff_profile,model_id,season_bucket,n_scored,mae,rmse,median_absolute_error,bias,p80_absolute_error,p90_absolute_error,p95_absolute_error,max_absolute_error,mean_prediction,mean_actual,mean_anchor_forecast,scope,official_max_bin,official_range_bin,issue_hour_bucket,fcst_flag_thunderstorm,hourly_any_thunderstorm_warning_24h,hourly_any_rainstorm_warning_24h
tminus1_1800,A0_raw_official,DJF,1144,0.9370629370629371,1.1756712113523904,0.8000000000000007,-0.28409090909090917,1.5,1.8999999999999986,2.38499999999999,4.0,19.930944055944057,20.215034965034967,19.930944055944057,by_season_bucket,,,,,,
tminus1_1800,A0_raw_official,JJA,1325,0.8698113207547171,1.1058097007802123,0.7000000000000028,-0.08158490566037731,1.3999999999999986,1.8000000000000007,2.200000000000002,3.8999999999999986,31.718415094339623,31.8,31.718415094339623,by_season_bucket,,,,,,
tminus1_1800,A0_raw_official,MAM,1357,1.1745762711864407,1.4655237166916486,1.0,-0.057848194546794365,1.8999999999999986,2.3999999999999986,2.8000000000000007,4.600000000000001,26.261606484893147,26.31945467943994,26.261606484893147,by_season_bucket,,,,,,
tminus1_1800,A0_raw_official,SON,1224,0.8607843137254904,1.1023741461817465,0.6999999999999993,-0.10849673202614375,1.3999999999999986,1.8000000000000007,2.1999999999999993,4.300000000000001,28.656045751633986,28.764542483660133,28.656045751633986,by_season_bucket,,,,,,
tminus1_1800,A1_grouped_residual,DJF,1144,0.9145024568599948,1.1413137663511344,0.7676078129797101,-0.05411086484635505,1.4342721606531352,1.8316503425051387,2.254491508509289,3.950406822321625,20.160924100188613,20.215034965034967,19.930944055944057,by_season_bucket,,,,,,
tminus1_1800,A1_grouped_residual,JJA,1325,0.8679318122345381,1.1028952260205,0.717484211110623,-0.03943920885773662,1.3915773718093831,1.780714737120436,2.185807078131121,3.91672893751187,31.76056079114226,31.8,31.718415094339623,by_season_bucket,,,,,,
tminus1_1800,A1_grouped_residual,MAM,1357,1.171267615824697,1.4622923137355264,0.9769507831566244,0.06618005879436643,1.9039521919159426,2.395214442703978,2.863628793940617,4.449828392952849,26.38563473823431,26.31945467943994,26.261606484893147,by_season_bucket,,,,,,
tminus1_1800,A1_grouped_residual,SON,1224,0.8548085846998128,1.0951672135500972,0.6785129649813726,-0.008117543705922933,1.3941191061090594,1.8390082441503786,2.1923158680147767,4.099081499117986,28.756424939954204,28.764542483660133,28.656045751633986,by_season_bucket,,,,,,
tminus1_1800,A2_revision_residual_lgbm,DJF,1144,0.9064861695490768,1.1381915021205058,0.7670833699330704,0.027674511746443163,1.4451483507908927,1.8210246004861184,2.2121612447273233,4.192441312881108,20.242709476781407,20.215034965034967,19.930944055944057,by_season_bucket,,,,,,
tminus1_1800,A2_revision_residual_lgbm,JJA,1325,0.8714480523103162,1.102866023063219,0.7205657100300229,-0.010219242897019712,1.3962781041180095,1.8130037823869647,2.17307798903479,3.791532790806791,31.78978075710298,31.8,31.718415094339623,by_season_bucket,,,,,,
