cutoff_profile,model_id,stage,n_scored,mae,rmse,median_absolute_error,bias,p80_absolute_error,p90_absolute_error,p95_absolute_error,max_absolute_error,mean_prediction,mean_actual,mean_anchor_forecast,scope
tminus1_2359,A6_target_memory_residual_lgbm,rolling_validation,4017,0.8956847962949231,1.1550527029626412,0.7200228783700311,0.0253637601467008,1.4447646247608419,1.9124632475599492,2.376172626851345,4.494228746793425,26.509954250562433,26.484590490415734,26.356733881005727,by_split
tminus1_2359,A5_text_warning_residual_lgbm,rolling_validation,4017,0.8961521443047586,1.152980595265381,0.7245462583660185,0.02268458222143219,1.4362182300433084,1.9146988201951836,2.365037883988815,4.385345523536646,26.507275072637167,26.484590490415734,26.356733881005727,by_split
tminus1_2359,A2_revision_residual_lgbm,rolling_validation,4017,0.9085189616146493,1.1723462866308874,0.721310560481399,0.023068404835224633,1.4703609373321933,1.957660042323252,2.3934246597328253,4.442932728355654,26.507658895250962,26.484590490415734,26.356733881005727,by_split
tminus1_2359,A1_grouped_residual,rolling_validation,4017,0.9183321685587252,1.1826457492867952,0.7267169576613703,0.01165204569777021,1.4758880256608622,1.9560579997251524,2.408550334324451,4.438538435245153,26.496242536113503,26.484590490415734,26.356733881005727,by_split
tminus1_2359,A0_raw_official,rolling_validation,4017,0.9252676126462535,1.19234342699427,0.7000000000000028,-0.12785660941000745,1.5,2.0,2.3999999999999986,4.5,26.356733881005727,26.484590490415734,26.356733881005727,by_split
tminus1_2359,A8_direct_lgbm_absolute,rolling_validation,4017,0.940265775049366,1.2135741632617347,0.7510201391712954,0.012373141423891395,1.524579327023338,2.012470927614503,2.3789267046915255,7.689968822761708,26.496963631839623,26.484590490415734,26.356733881005727,by_split
tminus1_2359,B0_climatology_persistence,rolling_validation,4017,1.8297535474234505,2.3177675364453076,1.5200000000000031,-0.3064724919093851,2.839999999999999,3.8200000000000003,4.619999999999998,10.479999999999999,26.178117998506348,26.484590490415734,26.356733881005727,by_split
tminus1_2359,A6_target_memory_residual_lgbm,sealed_confirmation,882,0.9122975275202059,1.1752958975095746,0.7427772792530778,-0.008752207705490928,1.4593061656794313,1.8910291373269703,2.205209044422061,8.246808048127383,26.81981922086594,26.82857142857143,26.705215419501133,by_split
tminus1_2359,A5_text_warning_residual_lgbm,sealed_confirmation,882,0.913899594615418,1.17631043852363,0.7429230471381754,0.007862835195831273,1.4774124356958118,1.889263582338799,2.218364541977675,8.189127588577412,26.83643426376726,26.82857142857143,26.705215419501133,by_split
tminus1_2359,A4_network_gradients_residual_lgbm,sealed_confirmation,882,0.9140247691291284,1.178946409376598,0.7265876593709066,0.017232100458289667,1.482045995590454,1.9195532672653726,2.2304865192977528,8.233601160161092,26.845803529029716,26.82857142857143,26.705215419501133,by_split
tminus1_2359,A3_hko_hourly_state_residual_lgbm,sealed_confirmation,882,0.9157899875497983,1.1803402881023006,0.7666241795135349,0.0031763905576970087,1.4699211272765256,1.9126708084495743,2.2001224105950374,8.115805377994901,26.831747819129127,26.82857142857143,26.705215419501133,by_split
tminus1_2359,A7_final_residual_ensemble,sealed_confirmation,882,0.9172480706318402,1.1757678225557913,0.774743579159427,-0.041018192108465176,1.467022355932884,1.9104747026011264,2.245230062394971,7.769879133313763,26.78755323646297,26.82857142857143,26.705215419501133,by_split
tminus1_2359,A2_revision_residual_lgbm,sealed_confirmation,882,0.9282028124708217,1.1983612436305777,0.7584452930155656,-0.016790283458407364,1.5022796533225813,1.9155111197350345,2.2780020139658586,8.730591372422412,26.81178114511302,26.82857142857143,26.705215419501133,by_split
tminus1_2359,A1_grouped_residual,sealed_confirmation,882,0.9414565763949259,1.2072433908365834,0.7580268177143612,0.009925844303667906,1.529319861563586,1.8979876172395,2.3130169733157273,8.83378546930714,26.8384972728751,26.82857142857143,26.705215419501133,by_split
tminus1_2359,A8_direct_lgbm_absolute,sealed_confirmation,882,0.9435517828397493,1.1971073541403277,0.7989940139257108,-0.06488411065168771,1.5228111005253966,1.8672667585120235,2.2423532466869727,8.43206860097291,26.763687317919743,26.82857142857143,26.705215419501133,by_split
tminus1_2359,A0_raw_official,sealed_confirmation,882,0.9489795918367347,1.2183126504660922,0.8000000000000007,-0.12335600907029474,1.5,1.8999999999999986,2.3000000000000007,8.6,26.705215419501133,26.82857142857143,26.705215419501133,by_split
tminus1_2359,B0_climatology_persistence,sealed_confirmation,882,2.2278684807256237,2.743882496839576,1.9499999999999993,-0.9797732426303853,3.400000000000002,4.4899999999999975,5.300000000000001,9.099999999999998,25.848798185941043,26.82857142857143,26.705215419501133,by_split
