target_month,method,family,row_count,rps,nll,brier,crps,ece,mce,entropy
1,P1_normal_mos,mos,496,0.0014623285715606677,0.044151445823718084,0.002127246515494865,0.014623285715606678,0.006013780780441307,0.3022537467878588,0.05281101927274919
1,C2_ordinal_cdf_logistic,direct_classifier,496,0.0014677596912830223,0.050694051809387505,0.0021519224001283815,0.014677596912830224,0.010221820253689905,0.47099170586418326,0.08734174426295285
1,P2_student_t_mos,mos,496,0.0014707696842048523,0.04635603085682778,0.002130286304730447,0.014707696842048526,0.00788834679968353,0.2943637058297144,0.0666480846185711
1,E2_student_t_emos,emos,496,0.0014885383040680095,0.05033929382841137,0.0021735988510593685,0.014885383040680097,0.011734337146517212,0.36795096120670534,0.08270200530664237
1,B1_global_residual_pmf,residual_pmf,496,0.0015038966960831926,0.04588782838175536,0.002149436506098818,0.01503896696083193,0.007250567483993824,0.3317978000543738,0.059231632551012756
1,B3_forecast_level_residual_pmf,residual_pmf,496,0.0015042985332990148,0.04757948644398561,0.0021369241631782315,0.015042985332990156,0.007586626387612863,0.32670865713375363,0.07269177615868622
1,B5_kernel_analog_pmf,analog_pmf,496,0.0015146398202088797,0.046753903163773,0.0021844534803866582,0.015146398202088802,0.012007630224245096,0.5856270736100253,0.060666909182966945
1,E1_normal_emos,emos,496,0.00151809359239464,0.04657079133610065,0.0022318953560967274,0.015180935923946402,0.006381976898397607,0.1756982671604791,0.02789433162616462
1,C1_multinomial_ridge,direct_classifier,496,0.001530142702682402,0.053164759639291626,0.002192637549456438,0.015301427026824025,0.01079939184465515,0.49103845493871545,0.0943289301734111
1,B2_month_residual_pmf,residual_pmf,496,0.0015310880488837325,0.04529021150026013,0.0021661417441853088,0.015310880488837327,0.005780821642990442,0.3217336864804982,0.05435600102414599
1,H1_b4_challenger_linear_pool,hybrid_pool,496,0.0015478170750836782,0.04665092659382037,0.002202602747687447,0.01547817075083679,0.006861993392743404,0.33093184333433506,0.0539094952238342
1,S1_conservative_simplex_stack,stack,496,0.0015499138638314861,0.047234384457047966,0.0022102827778698597,0.015499138638314862,0.006440046793221856,0.31971113822243347,0.06220710904693779
1,B4_hierarchical_residual_pmf,residual_pmf,496,0.0015588581453301984,0.04617349927344289,0.002224112214203413,0.01558858145330199,0.005005194617087734,0.3218772544551645,0.050716312071016685
1,K0_B4_identity,calibration,496,0.0015588581453301984,0.04617349927344289,0.002224112214203413,0.01558858145330199,0.005005194617087734,0.3218772544551645,0.050716312071016685
1,K2_B4_monotone_cdf_projected,calibration,496,0.0015588581453301988,0.04617349927344307,0.0022241122142034136,0.01558858145330199,0.005005194617088055,0.32187725445516446,0.050716312071019856
1,G1_gamlss_tree_location_scale,gamlss_tree,496,0.0015632278260735068,0.04902301516676656,0.0022561585657565144,0.01563227826073507,0.006375110547096091,0.1652319698036966,0.0262843342818215
