cutoff,model_id,model_family,scope,n,mae,rmse,median_abs_error,bias,p80_abs_error,p90_abs_error,p95_abs_error,max_abs_error,first_date,last_date
23:59,M3_empirical_bayes_residual,residual_shrinkage,all_rows,4747,0.92224243628292,1.1834682269857113,0.7349735640100903,0.015200387591520358,1.4827472769422365,1.9614511906861247,2.3944642064484083,4.413344060367432,2011-01-01,2023-12-31
23:59,M8_constrained_nonnegative_stack,stack,all_rows,4747,0.9281406615506101,1.1907656009269159,0.7377577734123193,-0.017041173976655385,1.4882950967958564,1.9738877016119056,2.429346618961087,4.298346788216367,2011-01-01,2023-12-31
23:59,M2_elasticnet_residual,residual_ml,all_rows,4747,0.9366032636015762,1.2016959752589356,0.7583538340534233,0.0016889972683686466,1.5064012632035872,1.983816599013983,2.469501649767611,4.433244907292551,2011-01-01,2023-12-31
23:59,M6_lgbm_huber_residual,residual_ml,all_rows,4747,0.9376335520046852,1.2028202486298558,0.7538246432605078,-0.03565399641068464,1.5010875524182563,1.978340668910927,2.460175732661286,4.464371018477401,2011-01-01,2023-12-31
23:59,M5_lgbm_l1_residual,residual_ml,all_rows,4747,0.940085395817111,1.2059057076823632,0.7555346025997309,-0.03739499341414273,1.5049080918945885,1.9862259690382944,2.4693867353778134,4.498581242588351,2011-01-01,2023-12-31
23:59,M7_high_tail_specialist,residual_ml_tail,all_rows,4747,0.9430140038520719,1.209707380209558,0.7600371966092041,-0.016234260319556684,1.5129239015267517,1.9972447492482772,2.4827898273003863,4.498581242588351,2011-01-01,2023-12-31
21:00,M3_empirical_bayes_residual,residual_shrinkage,all_rows,4321,0.9509652611504207,1.2138336313058133,0.7642511847232996,0.006799844282999897,1.532437286246811,2.0320865033035176,2.44800683036377,4.4134007914996225,2011-01-01,2023-12-31
21:00,M4_analog_residual,analog,all_rows,4321,0.9515389249570207,1.2144581800298266,0.7673425766591819,-0.04195565482047104,1.5303256171731476,2.0314167444912314,2.4550417541371665,4.404962344504327,2011-01-01,2023-12-31
21:00,M1_huber_residual,residual_ml,all_rows,4321,0.9515776032835225,1.2141962656801586,0.7720607380012936,-0.04753689301993578,1.521723160290719,2.016473053748779,2.437872573711239,4.435848166298392,2011-01-01,2023-12-31
21:00,M8_constrained_nonnegative_stack,stack,all_rows,4321,0.9572806701214537,1.2218391555639105,0.7687896441095141,-0.02611997840229962,1.535074398683303,2.0230832475996543,2.470390972194526,4.412755193101873,2011-01-01,2023-12-31
18:00,M3_empirical_bayes_residual,residual_shrinkage,all_rows,4286,0.9580505833951941,1.2216266059824876,0.7716980564358789,-0.004873075612402697,1.538919499122514,2.0333624085053135,2.4616470151946794,4.434790669904977,2011-01-01,2023-12-31
17:00,M3_empirical_bayes_residual,residual_shrinkage,all_rows,4274,0.9582931195869243,1.2221277584270978,0.7726384028799682,-0.006831635681380847,1.5386671007777737,2.034875970494195,2.466848748844128,4.438752066771052,2011-01-01,2023-12-31
18:00,M4_analog_residual,analog,all_rows,4286,0.9586396995240537,1.2225992351150052,0.7816890990807437,-0.050310633728852416,1.534317126456095,2.0381693846891853,2.46238867788104,4.42401282169368,2011-01-01,2023-12-31
18:00,M1_huber_residual,residual_ml,all_rows,4286,0.9586900194961296,1.2222543906873422,0.7804566562011459,-0.05591890494191907,1.530717900648039,2.034191345415401,2.4461607323293357,4.452640435744566,2011-01-01,2023-12-31
17:00,M4_analog_residual,analog,all_rows,4274,0.958932122787926,1.2231284498094204,0.7805241328788419,-0.05181718943062783,1.5342606181705918,2.0364684755460476,2.4648634708696644,4.427706985500844,2011-01-01,2023-12-31
17:00,M1_huber_residual,residual_ml,all_rows,4274,0.9590008183065988,1.222813955412952,0.7807874699020196,-0.0574692240133539,1.5292854495519137,2.0355662253266673,2.44922860539728,4.455959210827142,2011-01-01,2023-12-31
18:00,M8_constrained_nonnegative_stack,stack,all_rows,4286,0.9643195797943735,1.2298156351114562,0.7734142127299659,-0.036618347019162466,1.5434464501421843,2.0406472077719986,2.4871543359279276,4.425842841965373,2011-01-01,2023-12-31
17:00,M8_constrained_nonnegative_stack,stack,all_rows,4274,0.9646451149220829,1.2303048249559179,0.7743490380341846,-0.03843755460950365,1.5455568769266095,2.040169155292263,2.490346523002098,4.424897186769151,2011-01-01,2023-12-31
21:00,M2_elasticnet_residual,residual_ml,all_rows,4321,0.9654290759922668,1.2328302093258303,0.7781753632013455,-0.006586040067834115,1.54403834412242,2.02707233849279,2.5027446975357286,4.582659805383919,2011-01-01,2023-12-31
21:00,M6_lgbm_huber_residual,residual_ml,all_rows,4321,0.9666042460826013,1.234061764651826,0.7776467374519136,-0.044770254233657894,1.5399760970147014,2.031470592050159,2.5067542847084603,4.599404131587072,2011-01-01,2023-12-31
21:00,M5_lgbm_l1_residual,residual_ml,all_rows,4321,0.9689590748276415,1.237133026549278,0.7803429866716733,-0.04661974130703753,1.5430152386064364,2.033381399439417,2.5197730620752417,4.6347499656657085,2011-01-01,2023-12-31
21:00,M7_high_tail_specialist,residual_ml_tail,all_rows,4321,0.9713688103448385,1.2407109093243223,0.7876386127117669,-0.025232562413262914,1.5557726478951928,2.0371938580972397,2.526307520811134,4.6347499656657085,2011-01-01,2023-12-31
18:00,M2_elasticnet_residual,residual_ml,all_rows,4286,0.9721927962365053,1.240494254465152,0.7867822528023876,-0.015282016260362035,1.5497370534939492,2.0393447199769668,2.5194370425356762,4.593345112842275,2011-01-01,2023-12-31
17:00,M2_elasticnet_residual,residual_ml,all_rows,4274,0.9725455173042091,1.2409232490265247,0.7875125159655258,-0.01701726418474386,1.5505172070342481,2.03993327760583,2.517721872174524,4.592651650038899,2011-01-01,2023-12-31
18:00,M6_lgbm_huber_residual,residual_ml,all_rows,4286,0.9735590643737594,1.2420997465710013,0.7874359820493186,-0.05499620821616442,1.5567547626574623,2.045182219281223,2.522832626278279,4.612333842066658,2011-01-01,2023-12-31
17:00,M6_lgbm_huber_residual,residual_ml,all_rows,4274,0.973980936338976,1.2425754467805286,0.78675303862493,-0.05683556112447622,1.5560483507240415,2.044068273011607,2.523393648354149,4.611770750659726,2011-01-01,2023-12-31
18:00,M5_lgbm_l1_residual,residual_ml,all_rows,4286,0.9758779312261726,1.2451637076722686,0.7848394880460479,-0.056889703075701556,1.5551288821880789,2.043805926568899,2.5305665395666272,4.647523533730848,2011-01-01,2023-12-31
17:00,M5_lgbm_l1_residual,residual_ml,all_rows,4274,0.9763184351183715,1.2456346027817746,0.785642845355726,-0.058748881753940524,1.5544077575608306,2.0440610996694075,2.5316120943440352,4.64694373906125,2011-01-01,2023-12-31
18:00,M7_high_tail_specialist,residual_ml_tail,all_rows,4286,0.9780535842612113,1.2484982627421928,0.794443622927961,-0.0356531188479834,1.5661800638389494,2.046764038340134,2.54623742165377,4.647523533730848,2011-01-01,2023-12-31
17:00,M7_high_tail_specialist,residual_ml_tail,all_rows,4274,0.9784943755131227,1.248926756174776,0.7949969046626268,-0.037510229437609205,1.5656650634665468,2.0470238117347006,2.5439230790154044,4.64694373906125,2011-01-01,2023-12-31
