source,member,issued_at_utc,valid_at_utc,lead_hour,latitude,longitude,variable,canonical_variable,friendly_name,grib_short_name,grib_name,grib_type_of_level,grib_level,grib_step_type,native_units,value_native,normalized_units,value_normalized
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,23.25,115.5,u10,wind_u_10m,10m U wind component,10u,10 metre U wind component,heightAboveGround,,instant,m s**-1,-0.563922107219696,m_s-1,-0.563922107219696
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,23.0,113.0,u10,wind_u_10m,10m U wind component,10u,10 metre U wind component,heightAboveGround,,instant,m s**-1,-1.263922095298767,m_s-1,-1.263922095298767
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,23.0,113.25,u10,wind_u_10m,10m U wind component,10u,10 metre U wind component,heightAboveGround,,instant,m s**-1,-2.4639220237731934,m_s-1,-2.4639220237731934
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,23.0,113.5,u10,wind_u_10m,10m U wind component,10u,10 metre U wind component,heightAboveGround,,instant,m s**-1,-3.4639220237731934,m_s-1,-3.4639220237731934
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,23.0,113.75,u10,wind_u_10m,10m U wind component,10u,10 metre U wind component,heightAboveGround,,instant,m s**-1,-2.363922119140625,m_s-1,-2.363922119140625
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,23.0,114.0,u10,wind_u_10m,10m U wind component,10u,10 metre U wind component,heightAboveGround,,instant,m s**-1,-2.163922071456909,m_s-1,-2.163922071456909
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,23.0,114.25,u10,wind_u_10m,10m U wind component,10u,10 metre U wind component,heightAboveGround,,instant,m s**-1,-2.163922071456909,m_s-1,-2.163922071456909
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,23.0,114.5,u10,wind_u_10m,10m U wind component,10u,10 metre U wind component,heightAboveGround,,instant,m s**-1,-2.4639220237731934,m_s-1,-2.4639220237731934
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,23.0,114.75,u10,wind_u_10m,10m U wind component,10u,10 metre U wind component,heightAboveGround,,instant,m s**-1,-1.763922095298767,m_s-1,-1.763922095298767
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,23.0,115.0,u10,wind_u_10m,10m U wind component,10u,10 metre U wind component,heightAboveGround,,instant,m s**-1,-0.9639221429824829,m_s-1,-0.9639221429824829
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,23.0,115.25,u10,wind_u_10m,10m U wind component,10u,10 metre U wind component,heightAboveGround,,instant,m s**-1,-0.7639220952987671,m_s-1,-0.7639220952987671
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,23.0,115.5,u10,wind_u_10m,10m U wind component,10u,10 metre U wind component,heightAboveGround,,instant,m s**-1,-0.663922131061554,m_s-1,-0.663922131061554
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,22.75,113.0,u10,wind_u_10m,10m U wind component,10u,10 metre U wind component,heightAboveGround,,instant,m s**-1,-0.563922107219696,m_s-1,-0.563922107219696
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,22.75,113.25,u10,wind_u_10m,10m U wind component,10u,10 metre U wind component,heightAboveGround,,instant,m s**-1,-1.363922119140625,m_s-1,-1.363922119140625
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,22.75,113.5,u10,wind_u_10m,10m U wind component,10u,10 metre U wind component,heightAboveGround,,instant,m s**-1,-2.4639220237731934,m_s-1,-2.4639220237731934
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,22.75,113.75,u10,wind_u_10m,10m U wind component,10u,10 metre U wind component,heightAboveGround,,instant,m s**-1,-2.7639222145080566,m_s-1,-2.7639222145080566
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,22.75,114.0,u10,wind_u_10m,10m U wind component,10u,10 metre U wind component,heightAboveGround,,instant,m s**-1,-1.263922095298767,m_s-1,-1.263922095298767
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,22.75,114.25,u10,wind_u_10m,10m U wind component,10u,10 metre U wind component,heightAboveGround,,instant,m s**-1,-1.963922142982483,m_s-1,-1.963922142982483
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,22.75,114.5,u10,wind_u_10m,10m U wind component,10u,10 metre U wind component,heightAboveGround,,instant,m s**-1,-1.263922095298767,m_s-1,-1.263922095298767
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,22.75,114.75,u10,wind_u_10m,10m U wind component,10u,10 metre U wind component,heightAboveGround,,instant,m s**-1,-1.363922119140625,m_s-1,-1.363922119140625
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,22.75,115.0,u10,wind_u_10m,10m U wind component,10u,10 metre U wind component,heightAboveGround,,instant,m s**-1,-0.663922131061554,m_s-1,-0.663922131061554
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,22.75,115.25,u10,wind_u_10m,10m U wind component,10u,10 metre U wind component,heightAboveGround,,instant,m s**-1,0.136077880859375,m_s-1,0.136077880859375
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,22.75,115.5,u10,wind_u_10m,10m U wind component,10u,10 metre U wind component,heightAboveGround,,instant,m s**-1,0.33607786893844604,m_s-1,0.33607786893844604
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,22.5,113.0,u10,wind_u_10m,10m U wind component,10u,10 metre U wind component,heightAboveGround,,instant,m s**-1,-0.863922119140625,m_s-1,-0.863922119140625
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,22.5,113.25,u10,wind_u_10m,10m U wind component,10u,10 metre U wind component,heightAboveGround,,instant,m s**-1,-0.9639221429824829,m_s-1,-0.9639221429824829
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,22.5,113.5,u10,wind_u_10m,10m U wind component,10u,10 metre U wind component,heightAboveGround,,instant,m s**-1,-1.1639220714569092,m_s-1,-1.1639220714569092
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,22.5,113.75,u10,wind_u_10m,10m U wind component,10u,10 metre U wind component,heightAboveGround,,instant,m s**-1,-1.963922142982483,m_s-1,-1.963922142982483
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,22.5,114.0,u10,wind_u_10m,10m U wind component,10u,10 metre U wind component,heightAboveGround,,instant,m s**-1,-1.6639220714569092,m_s-1,-1.6639220714569092
gfs,deterministic,2026-07-08T00:00:00Z,2026-07-09T00:00:00Z,24.0,22.5,114.25,u10,wind_u_10m,10m U wind component,10u,10 metre U wind component,heightAboveGround,,instant,m s**-1,-0.7639220952987671,m_s-1,-0.7639220952987671
